1	11.8507	-nan
2	9.21589	1891.84
3	9.20013	1902.46
4	9.00767	1911.22
5	8.99994	1921.04
6	8.85104	1929.48
7	8.7473	1938.17
8	8.72882	1947.36
9	8.67939	1956.09
10	8.53273	1964.02
11	8.52852	1972.95
12	8.44217	1981.34
13	8.38253	1989.79
14	8.33728	1998.28
15	8.21025	2006.43
16	8.00283	2013.86
17	7.3382	2017.14
18	7.20442	2024.8
19	7.18617	2033.28
20	7.0889	2041.28
21	6.7366	2046.98
22	6.69931	2055.24
23	6.64579	2063.68
24	6.57904	2071.64
25	6.54486	2080.56
26	6.14948	2086.02
27	6.10822	2093.93
28	6.03765	2100.81
29	6.01576	2109.33
30	5.82477	2114.33
31	5.82355	2122.86
32	5.77921	2130.18
33	5.32492	2135.1
34	5.14389	2145.38
35	5.12314	2154.33
36	5.11924	2163.04
37	5.11004	2173.07
38	5.07122	2181.85
39	5.02697	2191.65
40	5.02614	2200.54
41	4.90395	2210.52
42	4.85048	2224
43	4.79804	2236.54
44	4.78976	2246.77
45	4.74797	2251.59
46	4.62023	2245.4
47	4.59488	2251.29
48	4.51386	2258.43
49	4.45048	2268.37
50	4.44177	2277.07
51	4.42031	2293.68
52	4.41757	2300.57
53	4.41557	2309.36
54	4.37356	2326.04
55	4.25025	2379.49
56	4.24302	2383.39
57	4.21091	2402.51
58	4.1607	2383.57
59	4.11408	2410.01
60	4.06302	2399.69
61	3.79808	2460.55
62	3.7132	2488.81
63	3.70574	2501
64	3.70466	2511.82
65	3.70466	2522.01
66	3.62766	2473.18
67	3.59441	2496.73
68	3.58176	2521.8
69	3.51094	2598.06
70	3.14461	2677.17
71	3.12892	2677.01
72	2.82391	2724.18
73	2.81954	2732.33
74	2.42977	2688.66
75	2.32954	2702.23
76	2.12433	2858.15
77	1.98558	2898.48
78	1.98253	2913.47
79	1.9022	2989.53
80	1.8843	3067.43
81	1.58949	3058.46
82	1.13724	3182.11
83	1.12342	3209.47
84	1.03181	3153.55
85	0.94081	3291.24
86	0.936819	3425.05
87	0.879955	3422.21
88	0.69979	3614.96
89	0.692292	3571.19
90	0.663818	3708.73
91	0.653563	3815.99
92	0.561281	3968.61
93	0.559942	3954.14
94	0.45318	3985.57
95	0.410437	4259.16
96	0.40811	4426.14
97	0.37945	4378.43
98	0.379395	4580.67
99	0.111128	5272.86
